,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
709,1828,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,yes
710,1829,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,yes
711,1832,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22,31,26,8,yes
712,1833,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,yes
713,1836,PONTIAC G5,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,yes
714,1837,PONTIAC G5,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,yes
715,1838,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,7,17,26,20,6,yes
716,1839,PONTIAC G6,3.5,6,Auto-L4,2WD,Gasoline,small car,7,18,29,22,6,yes
717,1841,PONTIAC G6,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,30,25,7,yes
718,1845,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,6,17,26,20,6,no
719,1847,PONTIAC G6,3.6,6,Auto-S6,2WD,Gasoline,small car,6,17,26,20,6,no
720,1849,PONTIAC G6,3.9,6,Auto-S4,2WD,Gasoline,small car,6,15,22,18,5,no
721,1851,PONTIAC G8,6.0,8,Auto-S6,2WD,Gasoline,large car,6,15,24,18,5,no
722,1852,PONTIAC Grand Prix,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,18,28,21,6,yes
723,1855,PONTIAC Grand Prix,5.3,8,Auto-S4,2WD,Gasoline,midsize car,6,16,25,19,5,no
724,1856,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,yes
725,1857,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,yes
726,1860,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22,31,26,8,yes
727,1861,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,yes
